2024-04-24 21:03:53 - INFO - [0.00secondes]-This is an informational message.
2024-04-24 21:03:53 - DEBUG - [0.01secondes]-This is a debug message.
2024-04-24 21:03:53 - CRITICAL - [0.01secondes]-This is a critical message.
2024-04-24 21:03:54 - INFO - [1.58secondes]-La partie est commencé.
2024-04-24 21:03:54 - DEBUG - [1.58secondes]-Grille générée
2024-04-24 21:03:54 - DEBUG - [1.63secondes]-Lancement du jeu réussi
2024-04-24 21:03:54 - DEBUG - [1.63secondes]-La difficulté initiale a été initialisé à Easy
2024-04-24 21:05:23 - INFO - [90.21secondes]-L'utilisateur a selectionne (1, 1)
2024-04-24 21:05:23 - INFO - [90.73secondes]-L'utilisateur a cliqué sur 3
2024-04-24 21:05:23 - INFO - [90.73secondes]-Placement du chiffre 3 réussi.
2024-04-24 21:05:24 - INFO - [91.12secondes]-L'utilisateur a selectionne (1, 3)
2024-04-24 21:05:25 - INFO - [92.23secondes]-L'utilisateur a cliqué sur 2
2024-04-24 21:05:25 - INFO - [92.23secondes]-Placement du chiffre 2 réussi.
2024-04-24 21:05:26 - INFO - [92.95secondes]-L'utilisateur a selectionne (2, 3)
2024-04-24 21:05:26 - INFO - [93.56secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:05:26 - INFO - [93.56secondes]-Placement du chiffre 1 réussi.
2024-04-24 21:05:27 - INFO - [94.26secondes]-L'utilisateur a selectionne (3, 1)
2024-04-24 21:05:28 - INFO - [95.35secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:05:28 - INFO - [95.35secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:05:28 - INFO - [95.80secondes]-L'utilisateur a selectionne (3, 2)
2024-04-24 21:05:29 - INFO - [95.95secondes]-L'utilisateur a cliqué sur 7
2024-04-24 21:05:29 - INFO - [95.95secondes]-Placement du chiffre 7 réussi.
2024-04-24 21:05:29 - INFO - [96.71secondes]-L'utilisateur a selectionne (1, 5)
2024-04-24 21:05:30 - INFO - [97.65secondes]-L'utilisateur a cliqué sur 9
2024-04-24 21:05:30 - INFO - [97.65secondes]-Placement du chiffre 9 réussi.
2024-04-24 21:05:32 - INFO - [99.08secondes]-L'utilisateur a selectionne (2, 4)
2024-04-24 21:05:32 - INFO - [99.50secondes]-L'utilisateur a cliqué sur 7
2024-04-24 21:05:32 - INFO - [99.50secondes]-Placement du chiffre 7 réussi.
2024-04-24 21:05:33 - INFO - [100.25secondes]-L'utilisateur a selectionne (3, 4)
2024-04-24 21:05:34 - INFO - [100.97secondes]-L'utilisateur a cliqué sur 2
2024-04-24 21:05:34 - INFO - [100.97secondes]-Placement du chiffre 2 réussi.
2024-04-24 21:05:34 - INFO - [101.36secondes]-L'utilisateur a selectionne (3, 5)
2024-04-24 21:05:34 - INFO - [101.52secondes]-L'utilisateur a cliqué sur 3
2024-04-24 21:05:34 - INFO - [101.52secondes]-Placement du chiffre 3 réussi.
2024-04-24 21:05:35 - INFO - [102.41secondes]-L'utilisateur a selectionne (1, 8)
2024-04-24 21:05:36 - INFO - [103.60secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:05:36 - INFO - [103.60secondes]-Placement du chiffre 6 réussi.
2024-04-24 21:05:37 - INFO - [104.00secondes]-L'utilisateur a selectionne (1, 9)
2024-04-24 21:05:37 - INFO - [104.25secondes]-L'utilisateur a cliqué sur 7
2024-04-24 21:05:37 - INFO - [104.25secondes]-Placement du chiffre 7 réussi.
2024-04-24 21:05:37 - INFO - [104.87secondes]-L'utilisateur a selectionne (2, 7)
2024-04-24 21:05:38 - INFO - [105.37secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:05:38 - INFO - [105.37secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:05:39 - INFO - [106.29secondes]-L'utilisateur a selectionne (2, 9)
2024-04-24 21:05:40 - INFO - [107.23secondes]-L'utilisateur a cliqué sur 3
2024-04-24 21:05:40 - INFO - [107.23secondes]-Placement du chiffre 3 réussi.
2024-04-24 21:05:40 - INFO - [107.79secondes]-L'utilisateur a selectionne (3, 9)
2024-04-24 21:05:41 - INFO - [108.00secondes]-L'utilisateur a cliqué sur 5
2024-04-24 21:05:41 - INFO - [108.01secondes]-Placement du chiffre 5 réussi.
2024-04-24 21:05:42 - INFO - [109.22secondes]-L'utilisateur a selectionne (4, 3)
2024-04-24 21:05:43 - INFO - [110.40secondes]-L'utilisateur a cliqué sur 5
2024-04-24 21:05:43 - INFO - [110.40secondes]-Placement du chiffre 5 réussi.
2024-04-24 21:05:44 - INFO - [110.97secondes]-L'utilisateur a selectionne (5, 3)
2024-04-24 21:05:45 - INFO - [112.32secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:05:45 - INFO - [112.32secondes]-Placement du chiffre 6 réussi.
2024-04-24 21:05:45 - INFO - [112.71secondes]-L'utilisateur a selectionne (6, 2)
2024-04-24 21:05:46 - INFO - [113.90secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:05:46 - INFO - [113.90secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:05:47 - INFO - [114.79secondes]-L'utilisateur a selectionne (4, 5)
2024-04-24 21:05:48 - INFO - [115.73secondes]-L'utilisateur a cliqué sur 4
2024-04-24 21:05:48 - INFO - [115.73secondes]-Placement du chiffre 4 réussi.
2024-04-24 21:05:49 - INFO - [116.45secondes]-L'utilisateur a selectionne (3, 8)
2024-04-24 21:05:50 - INFO - [117.33secondes]-L'utilisateur a cliqué sur 2
2024-04-24 21:05:51 - INFO - [118.25secondes]-L'utilisateur a selectionne (4, 7)
2024-04-24 21:05:52 - INFO - [119.25secondes]-L'utilisateur a cliqué sur 2
2024-04-24 21:05:52 - INFO - [119.25secondes]-Placement du chiffre 2 réussi.
2024-04-24 21:05:52 - INFO - [119.80secondes]-L'utilisateur a selectionne (4, 8)
2024-04-24 21:05:53 - INFO - [120.52secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:05:53 - INFO - [120.52secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:05:54 - INFO - [121.04secondes]-L'utilisateur a selectionne (4, 9)
2024-04-24 21:05:55 - INFO - [122.21secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:05:55 - INFO - [122.22secondes]-Placement du chiffre 6 réussi.
2024-04-24 21:05:58 - INFO - [125.22secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:05:58 - CRITICAL - [125.22secondes]-Mauvaise entrée. Chances restantes: 2
2024-04-24 21:05:59 - INFO - [126.24secondes]-L'utilisateur a selectionne (5, 6)
2024-04-24 21:06:02 - INFO - [129.74secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:06:02 - INFO - [129.74secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:06:04 - INFO - [131.65secondes]-L'utilisateur a selectionne (6, 4)
2024-04-24 21:06:05 - INFO - [132.38secondes]-L'utilisateur a cliqué sur 3
2024-04-24 21:06:05 - INFO - [132.38secondes]-Placement du chiffre 3 réussi.
2024-04-24 21:06:06 - INFO - [133.09secondes]-L'utilisateur a selectionne (6, 5)
2024-04-24 21:06:06 - INFO - [133.31secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:06:06 - INFO - [133.31secondes]-Placement du chiffre 6 réussi.
2024-04-24 21:06:07 - INFO - [134.13secondes]-L'utilisateur a selectionne (6, 9)
2024-04-24 21:06:08 - INFO - [135.17secondes]-L'utilisateur a cliqué sur 4
2024-04-24 21:06:08 - INFO - [135.17secondes]-Placement du chiffre 4 réussi.
2024-04-24 21:06:09 - INFO - [136.08secondes]-L'utilisateur a selectionne (7, 3)
2024-04-24 21:06:10 - INFO - [137.17secondes]-L'utilisateur a cliqué sur 7
2024-04-24 21:06:10 - INFO - [137.17secondes]-Placement du chiffre 7 réussi.
2024-04-24 21:06:11 - INFO - [138.53secondes]-L'utilisateur a selectionne (7, 6)
2024-04-24 21:06:12 - INFO - [139.58secondes]-L'utilisateur a cliqué sur 5
2024-04-24 21:06:12 - INFO - [139.58secondes]-Placement du chiffre 5 réussi.
2024-04-24 21:06:13 - INFO - [140.74secondes]-L'utilisateur a selectionne (8, 1)
2024-04-24 21:06:15 - INFO - [141.95secondes]-L'utilisateur a cliqué sur 4
2024-04-24 21:06:15 - INFO - [141.95secondes]-Placement du chiffre 4 réussi.
2024-04-24 21:06:15 - INFO - [142.37secondes]-L'utilisateur a selectionne (8, 3)
2024-04-24 21:06:16 - INFO - [143.47secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:06:16 - INFO - [143.47secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:06:17 - INFO - [144.02secondes]-L'utilisateur a selectionne (9, 1)
2024-04-24 21:06:18 - INFO - [145.33secondes]-L'utilisateur a cliqué sur 5
2024-04-24 21:06:18 - INFO - [145.33secondes]-Placement du chiffre 5 réussi.
2024-04-24 21:06:18 - INFO - [145.83secondes]-L'utilisateur a selectionne (9, 2)
2024-04-24 21:06:19 - INFO - [146.07secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:19 - INFO - [146.08secondes]-Placement du chiffre 1 réussi.
2024-04-24 21:06:19 - INFO - [146.72secondes]-L'utilisateur a selectionne (8, 4)
2024-04-24 21:06:21 - INFO - [148.24secondes]-L'utilisateur a cliqué sur 9
2024-04-24 21:06:21 - INFO - [148.24secondes]-Placement du chiffre 9 réussi.
2024-04-24 21:06:21 - INFO - [148.90secondes]-L'utilisateur a selectionne (8, 5)
2024-04-24 21:06:22 - INFO - [149.06secondes]-L'utilisateur a cliqué sur 2
2024-04-24 21:06:22 - INFO - [149.06secondes]-Placement du chiffre 2 réussi.
2024-04-24 21:06:23 - INFO - [150.73secondes]-L'utilisateur a selectionne (9, 4)
2024-04-24 21:06:24 - INFO - [151.31secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:06:24 - INFO - [151.31secondes]-Placement du chiffre 6 réussi.
2024-04-24 21:06:24 - INFO - [151.73secondes]-L'utilisateur a selectionne (9, 5)
2024-04-24 21:06:25 - INFO - [152.43secondes]-L'utilisateur a cliqué sur 8
2024-04-24 21:06:25 - INFO - [152.43secondes]-Placement du chiffre 8 réussi.
2024-04-24 21:06:27 - INFO - [154.63secondes]-L'utilisateur a selectionne (8, 9)
2024-04-24 21:06:28 - INFO - [155.31secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:28 - INFO - [155.32secondes]-Placement du chiffre 1 réussi.
2024-04-24 21:06:28 - INFO - [155.32secondes]-La grille a été completé
2024-04-24 21:06:28 - INFO - [155.32secondes]-L'utilisateur a gagné !
2024-04-24 21:06:35 - DEBUG - [162.06secondes]- Clic en dehors des zones interactives.
2024-04-24 21:06:35 - DEBUG - [162.50secondes]- Clic en dehors des zones interactives.
2024-04-24 21:06:39 - INFO - [166.82secondes]-L'utilisateur a démarré une nouvelle partie.
2024-04-24 21:06:42 - INFO - [168.96secondes]-L'utilisateur a selectionne (3, 8)
2024-04-24 21:06:42 - INFO - [169.37secondes]-L'utilisateur a selectionne (3, 7)
2024-04-24 21:06:42 - INFO - [169.61secondes]-L'utilisateur a cliqué sur 3
2024-04-24 21:06:42 - CRITICAL - [169.61secondes]-Mauvaise entrée. Chances restantes: 2
2024-04-24 21:06:44 - INFO - [171.70secondes]-L'utilisateur a cliqué sur 5
2024-04-24 21:06:44 - CRITICAL - [171.70secondes]-Mauvaise entrée. Chances restantes: 1
2024-04-24 21:06:45 - INFO - [172.22secondes]-L'utilisateur a cliqué sur 6
2024-04-24 21:06:45 - CRITICAL - [172.22secondes]-Mauvaise entrée. Chances restantes: 0
2024-04-24 21:06:45 - CRITICAL - [172.23secondes]-Les chances sont épuisées
2024-04-24 21:06:46 - INFO - [173.32secondes]-L'utilisateur a démarré une nouvelle partie.
2024-04-24 21:06:47 - INFO - [174.10secondes]-L'utilisateur a selectionne (3, 8)
2024-04-24 21:06:48 - INFO - [175.42secondes]-L'utilisateur a selectionne (3, 1)
2024-04-24 21:06:50 - INFO - [177.73secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:50 - INFO - [177.74secondes]-Placement du chiffre 1 réussi.
2024-04-24 21:06:51 - INFO - [178.69secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:51 - CRITICAL - [178.69secondes]-Mauvaise entrée. Chances restantes: 2
2024-04-24 21:06:52 - INFO - [179.39secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:52 - CRITICAL - [179.39secondes]-Mauvaise entrée. Chances restantes: 1
2024-04-24 21:06:53 - INFO - [180.14secondes]-L'utilisateur a cliqué sur 1
2024-04-24 21:06:53 - CRITICAL - [180.14secondes]-Mauvaise entrée. Chances restantes: 0
2024-04-24 21:06:53 - CRITICAL - [180.14secondes]-Les chances sont épuisées
2024-04-24 21:06:54 - INFO - [181.18secondes]-L'utilisateur a démarré une nouvelle partie.
